,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
10,My Life,"50 Cent, Eminem, Adam Levine",My Life,7iHmgWi3XupDinqX5qwBUc,2GoOioZVtOF1iMYfnzkreg,56,2012-01-01,239907,True,https://open.spotify.com/track/2GoOioZVtOF1iMYfnzkreg,0.646,0.932,1,-4.178,1,0.276,0.045,2.85e-06,0.276,0.518,176.111
11,"Wild Horses (feat. Adam Levine) - Unplugged Live at the Brooklyn Academy of Music, Brooklyn, NY - July 2005","Alicia Keys, Adam Levine",Unplugged,4KCe4KPxUSyKPLu5a6mDVg,6zo52JP3T62BJWN1Fd802D,49,2005-10-11,364800,False,https://open.spotify.com/track/6zo52JP3T62BJWN1Fd802D,0.375,0.422,7,-9.197,1,0.0322,0.665,0.000471,0.702,0.0886,133.051
12,A Higher Place,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,2fKvStJ1UkXMkf5kzBp3DQ,03ensJD4vIcC4qFSqJfEOG,49,2014-07-01,190467,False,https://open.spotify.com/track/03ensJD4vIcC4qFSqJfEOG,0.613,0.897,2,-3.91,1,0.0323,0.0171,0.0,0.172,0.661,124.007
13,I’m So Humble,"The Lonely Island, Adam Levine",Popstar: Never Stop Never Stopping,07fcZXkBS0y4Y80GT60PZq,39F08AoluLGQ9F1J2bO4Pn,52,2016-06-03,152547,False,https://open.spotify.com/track/39F08AoluLGQ9F1J2bO4Pn,0.769,0.768,9,-4.709,1,0.23,0.0391,0.0,0.0699,0.797,140.979
14,Locked Away Again (The Remix) (feat. Adam Levine & Lil Wayne),"R. City, Adam Levine, Lil Wayne",Locked Away Again (The Remix) (feat. Adam Levine & Lil Wayne),0idlYoU1QtSGGQjWxooSg4,7BWTTA7mBQTX4jxSLApzQ6,49,2015-10-02,248034,False,https://open.spotify.com/track/7BWTTA7mBQTX4jxSLApzQ6,0.552,0.704,1,-5.349,1,0.0883,0.219,0.0,0.0388,0.693,124.902
15,Same Guy (feat. Adam Levine),"Jack Harlow, Adam Levine",Thats What They All Say,5g2INX6dnMIJG0xKygXwF3,2InNHqO69Nu6lH8169ncxR,49,2020-12-11,164031,True,https://open.spotify.com/track/2InNHqO69Nu6lH8169ncxR,0.797,0.573,10,-6.329,0,0.101,0.184,0.0,0.104,0.653,93.539
16,Lost Stars - Into The Night Mix,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,2fKvStJ1UkXMkf5kzBp3DQ,4CTpAWFg3rFlOBvhMEZDVg,44,2014-07-01,217067,False,https://open.spotify.com/track/4CTpAWFg3rFlOBvhMEZDVg,0.522,0.789,0,-4.163,1,0.0335,0.0892,0.0,0.111,0.342,101.023
17,YOLO,"The Lonely Island, Adam Levine, Kendrick Lamar",The Wack Album,46j0zit3m0xk3p96th7pjr,6XmT1eehtQjAtuZL3gMBNT,45,2013-01-01,184640,False,https://open.spotify.com/track/6XmT1eehtQjAtuZL3gMBNT,0.611,0.871,7,-3.003,0,0.275,0.0284,0.0,0.157,0.66,160.032
18,Man In The Mirror - The Voice Performance,"Adam Levine, Javier Colon",Man In The Mirror (The Voice Performance),392SshbHBcKNjBbT3JHUZd,2zSxo9FebD1H3kk7bTxNzA,36,2011-01-01,202400,False,https://open.spotify.com/track/2zSxo9FebD1H3kk7bTxNzA,0.497,0.797,7,-3.619,1,0.0392,0.236,2.81e-06,0.143,0.397,202.085
19,Wings Of Stone,Adam Levine,Wings Of Stone,2hBfTjB77BQ4Fa7RN64MNT,1yZntW925nLegBydduhjWN,38,2022-04-01,226513,False,https://open.spotify.com/track/1yZntW925nLegBydduhjWN,0.625,0.711,8,-4.819,1,0.0388,0.0241,0.0,0.146,0.109,100.993
20,Gotten (feat. Adam Levine),"Slash, Adam Levine",Slash (Special Edition),3VbJEJFDrbvb34ZN1KngSj,0aNCFJfB48ZPn8ibcqvMiZ,37,2010-05-07,303253,False,https://open.spotify.com/track/0aNCFJfB48ZPn8ibcqvMiZ,0.547,0.482,4,-8.221,1,0.0298,0.16,0.000175,0.115,0.0689,130.31
21,Trust Nobody (ft. Adam Levine),"Lil Wayne, Adam Levine",Funeral,2x657XotA7LCsPElXmXX4W,5BVVgL1FJ0wAEyNH0Mc8yX,40,2020-01-31,168333,True,https://open.spotify.com/track/5BVVgL1FJ0wAEyNH0Mc8yX,0.776,0.566,2,-5.301,0,0.0617,0.18,0.0,0.115,0.389,84.988
22,Famous (feat. Adam Levine) - Remix,"French Montana, Adam Levine",Famous (feat. Adam Levine) [Remix],1ew9Tnh7zjv1G4o91VyZPf,77dBOjnALFLT1p0WM2zMse,36,2018-08-24,226588,False,https://open.spotify.com/track/77dBOjnALFLT1p0WM2zMse,0.618,0.736,6,-4.86,1,0.101,0.059,0.0,0.163,0.511,100.134
23,"Mic Jack (feat. Adam Levine, Scar & Sleepy Brown)","Big Boi, Adam Levine, Scar, Sleepy Brown",BOOMIVERSE,6bseFkqeoLaVOaPshnB34o,3Fr1ctZlzsAingIJ552l20,34,2017-06-16,202686,True,https://open.spotify.com/track/3Fr1ctZlzsAingIJ552l20,0.755,0.747,11,-5.618,0,0.13,0.0434,0.0,0.125,0.417,114.969
24,Somebody That I Used To Know - The Voice Performance,"Christina Grimmie, Adam Levine",The Complete Season 6 Collection,7ejGJQTpUZyAxpUkygTdIH,5DEpO2jZQagRQvptOEzFwo,31,2014-05-21,199126,False,https://open.spotify.com/track/5DEpO2jZQagRQvptOEzFwo,0.783,0.584,1,-6.225,0,0.0297,0.148,0.0,0.13,0.425,128.944
25,God Only Knows - The Voice Performance,"Jordan Smith, Adam Levine",The Complete Season 9 Collection (The Voice Performance),144abioSp1P3RFW1HujUsX,26BvbgWisvyequ09r52TDA,27,2015-12-16,168560,False,https://open.spotify.com/track/26BvbgWisvyequ09r52TDA,0.544,0.559,6,-3.713,0,0.0297,0.399,0.0,0.118,0.559,117.906
26,Promised Land,"Malik Yusef, Adam Levine, Kanye West",Yes We Can: Voices Of A Grassroots Movement,1no58yYwy9tBu1jyHqveYu,60PkjcScwvExG2cFomQBtN,29,2009-07-31,186067,False,https://open.spotify.com/track/60PkjcScwvExG2cFomQBtN,0.395,0.599,8,-6.352,1,0.239,0.11,0.0,0.253,0.45,87.362
27,Heavy,"PJ Morton, Adam Levine",New Orleans,1CkM9RhnkW6Ds3wDTheOdo,54x9AwwOVGWdnUfYwGVS4t,27,2013-01-01,188027,False,https://open.spotify.com/track/54x9AwwOVGWdnUfYwGVS4t,0.702,0.815,1,-3.055,1,0.034,0.00716,8.6e-05,0.312,0.7,110.013
28,"Signed, Sealed, Delivered - Live at Live 8, Benjamin Franklin Parkway, Philadelphia, 2nd July 2005","Stevie Wonder, Adam Levine","Live 8 (Live, July 2005)",15t7NAV9KXOtPo7HefS39H,3oj6elsOem0Xz33qyreoRT,26,2005,178324,False,https://open.spotify.com/track/3oj6elsOem0Xz33qyreoRT,0.521,0.958,10,-6.759,1,0.0533,0.00198,0.0,0.426,0.55,113.004
29,Painkiller,"Rozzi, Adam Levine",Space,7GwxgUetlgERKVoIuw7dUP,6AASSUNaGkAhJFfI9qfFsJ,25,2015-02-16,212293,False,https://open.spotify.com/track/6AASSUNaGkAhJFfI9qfFsJ,0.588,0.917,9,-5.103,1,0.104,0.00986,2.14e-06,0.0744,0.325,154.044
30,Lost Stars - The Voice Performance,"Matt McAndrew, Adam Levine",The Complete Season 7 Collection (The Voice Performance),0C7aDDgToiacLUBavhwMWm,5AtswJe6AJ2uaqwHdVIsIT,21,2015-02-17,194896,False,https://open.spotify.com/track/5AtswJe6AJ2uaqwHdVIsIT,0.449,0.638,0,-6.492,1,0.0288,0.0274,0.0,0.176,0.242,82.017
31,Live Again,"Ying Yang Twins, Adam Levine",U.S.A. (United State of Atlanta),0tkYbxsTPQ5kTVdrvj4S3f,0vsjS7GCEBUrzjEU0BEyTB,27,2005-06-28,255107,True,https://open.spotify.com/track/0vsjS7GCEBUrzjEU0BEyTB,0.889,0.827,11,-7.394,0,0.107,0.316,0.0,0.152,0.623,109.974
32,Let It Be - The Voice Performance,"Tessanne Chin, Adam Levine",The Complete Season 5 Collection (The Voice Performance),7GX9qCMyqCE2surVUDJJgp,6D9XBfUFCpnVN2tSP2bETW,19,2014-01-01,216378,False,https://open.spotify.com/track/6D9XBfUFCpnVN2tSP2bETW,0.474,0.782,0,-4.546,1,0.04,0.0747,0.0,0.424,0.368,144.002
33,Stand Up,"Javier Colon, Adam Levine",Come Through For You,6KGdyRH0JeaN6hJ8jfvBiz,57gLGlIWbllmj7UaRjcUdx,18,2011-01-01,187000,False,https://open.spotify.com/track/57gLGlIWbllmj7UaRjcUdx,0.77,0.659,7,-5.63,0,0.0385,0.258,3.91e-06,0.39,0.901,100.043
34,This Love,"G-DRAGON, James Valentine, Adam Levine, Ryan Dusick, Mickey Madden, Jesse Carmichael",Shine A Light,1VNgOZM0hpFdeivdpoD5k6,4eAbsf15Xi5ItqJiTOVHKQ,24,2010-03-30,224693,False,https://open.spotify.com/track/4eAbsf15Xi5ItqJiTOVHKQ,0.604,0.986,7,-3.578,1,0.296,0.079,0.0,0.953,0.13,99.947
35,Diamonds On The Soles Of Her Shoes - The Voice Performance,"Joshua Davis, Adam Levine",The Complete Season 8 Collection (The Voice Performance),6MppBBhapzHLawPrAnVVxx,0vlV9EHERw2dRYiuhQNPJB,16,2015-05-20,184135,False,https://open.spotify.com/track/0vlV9EHERw2dRYiuhQNPJB,0.728,0.79,6,-5.397,1,0.0399,0.0179,1.09e-05,0.12,0.631,110.99
36,Don't Let The Sun Go Down On Me - The Voice Performance,"Damien, Adam Levine",The Complete Season 7 Collection (The Voice Performance),2ya2Wtn9QqVqEPyH7Re2HN,5w7ZrqaVgmuz69g5awg1WR,16,2015-02-17,175362,False,https://open.spotify.com/track/5w7ZrqaVgmuz69g5awg1WR,0.461,0.56,0,-5.409,1,0.0302,0.293,3.15e-05,0.0846,0.427,137.985
37,Bye Bye Love - The Voice Performance,"Billy Gilman, Adam Levine",The Complete Season 11 Collection (The Voice Performance),0gIK6Gy1yNzTbLeeEbEFQs,0GNsSZGj5ZtwzWnphy2XuN,14,2016-12-14,191053,False,https://open.spotify.com/track/0GNsSZGj5ZtwzWnphy2XuN,0.539,0.768,2,-5.661,1,0.0627,0.14,9.19e-06,0.105,0.902,170.059
38,"Bus Stop (with Jesse Carmichael, Adam Levine & Paul Shaffer and the Hall of Fame Orchestra) - Live","Allan Clarke, Graham Nash, Adam Levine, Jesse Carmichael, Paul Shaffer and the Hall of Fame Orchestra",The Rock & Roll Hall Of Fame: In Concert 2010 & 2011 (Live),7jFUfK6s9sgTVOuthPt91C,6RUnE0eT0XbRMZkYFTm4BP,8,2018-04-24,197971,False,https://open.spotify.com/track/6RUnE0eT0XbRMZkYFTm4BP,0.524,0.806,8,-9.514,0,0.112,0.108,0.0,0.606,0.491,129.989
39,"Carrie-Anne (with Jesse Carmichael, Adam Levine & Paul Shaffer and the Hall of Fame Orchestra) - Live","Allan Clarke, Graham Nash, Adam Levine, Jesse Carmichael, Paul Shaffer and the Hall of Fame Orchestra",The Rock & Roll Hall Of Fame: In Concert 2010 & 2011 (Live),7jFUfK6s9sgTVOuthPt91C,33D8z9tNibBW8vH2wwbPiK,8,2018-04-24,198739,False,https://open.spotify.com/track/33D8z9tNibBW8vH2wwbPiK,0.559,0.686,11,-10.334,1,0.162,0.457,0.0,0.779,0.579,121.866
0,"Better Off (Alone, Pt. III)","Alan Walker, Dash Berlin, Vikkstar","Better Off (Alone, Pt. III)",18CHItBE46OBhU3Qbybr7y,5M4fVUCKf3nFN1hbQEuFwA,65,2023-09-28,151703,False,https://open.spotify.com/track/5M4fVUCKf3nFN1hbQEuFwA,0.507,0.692,9,-5.199,0,0.0453,0.0304,0.0,0.151,0.375,129.803
1,Not You,"Alan Walker, Emma Steinbakken",World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,5BKJAuVMDyrFvUTo4dIaiK,81,2021-11-26,153719,False,https://open.spotify.com/track/5BKJAuVMDyrFvUTo4dIaiK,0.573,0.264,5,-8.955,1,0.0365,0.827,1.71e-05,0.103,0.379,129.791
2,Faded,Alan Walker,Different World,3nzuGtN3nXARvvecier4K0,698ItKASDavgwZ3WjaWjtz,81,2018-12-14,212107,False,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642
3,Hero,"Alan Walker, Sasha Alex Sloan",Hero,5jbvicaA8IhNJxOyr4iXtt,1rBTBbtkJlSDk78gg8Dw9F,75,2023-05-04,175764,False,https://open.spotify.com/track/1rBTBbtkJlSDk78gg8Dw9F,0.59,0.681,5,-7.289,1,0.0305,0.046,7.55e-05,0.153,0.0726,126.02
4,Sweet Dreams,"Alan Walker, Imanbek",Sweet Dreams,5WV1czZI9hnO6REVS6yKHR,4uDhts78RdwIDjEqPrYVKp,74,2021-06-11,138819,False,https://open.spotify.com/track/4uDhts78RdwIDjEqPrYVKp,0.766,0.817,7,-4.253,1,0.035,0.0239,2.49e-06,0.159,0.43,125.033
5,The Spectre,Alan Walker,The Spectre,1IKRstg3XuCuLWeCg3oaAW,2DGa7iaidT5s0qnINlwMjJ,78,2017-09-15,193788,False,https://open.spotify.com/track/2DGa7iaidT5s0qnINlwMjJ,0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957
6,Alone,Alan Walker,Different World,3nzuGtN3nXARvvecier4K0,3LlmKSHR3Rs0Y3KHQLAYDk,76,2018-12-14,160427,False,https://open.spotify.com/track/3LlmKSHR3Rs0Y3KHQLAYDk,0.673,0.914,10,-3.962,1,0.0496,0.229,0.000478,0.186,0.183,97.021
7,Endless Summer,"Alan Walker, Zak Abel",Endless Summer,6heWsbxEvCnXbHcw4xlKmE,2DVvsgWrZ4rUjupdRGYEXK,71,2023-07-13,187041,True,https://open.spotify.com/track/2DVvsgWrZ4rUjupdRGYEXK,0.588,0.804,6,-5.594,1,0.0428,0.00265,0.0,0.0708,0.381,124.055
8,"Alone, Pt. II","Alan Walker, Ava Max","Alone, Pt. II",700MviIgFKNTldTXmOAFOr,0bMbDctzMmTyK2j74j3nF3,75,2019-12-27,179053,False,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,0.67,0.668,3,-4.306,0,0.0422,0.536,0.0,0.133,0.608,88.033
9,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,1bcvtuHyO79DNAOOhHEkEm,4n7jnSxVLd8QioibtTDBDq,74,2019-03-21,193798,True,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq,0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087
10,Lily,"Alan Walker, K-391, Emelie Hollow",Different World,3nzuGtN3nXARvvecier4K0,0lks2Kt9veMOFEAPN0fsqN,75,2018-12-14,195840,False,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN,0.423,0.634,6,-5.877,0,0.0578,0.196,0.0,0.189,0.467,150.978
11,Play,"K-391, Alan Walker, Tungevaag, Mangoo",Play,4uIhRJj1Au4TiyHhCOZys5,4jp4Z02kzzg8gK0NmDGgml,71,2019-08-30,167977,False,https://open.spotify.com/track/4jp4Z02kzzg8gK0NmDGgml,0.52,0.798,6,-5.498,0,0.0391,0.101,0.0,0.0932,0.168,101.944
12,Headlights (feat. KIDDO),"Alok, Alan Walker, KIDDO",Headlights (feat. KIDDO),61SLEqJbw0XtTOmXUXAoEW,7BhmwvCdQZNwuQXSHw5TzP,71,2022-02-18,158400,False,https://open.spotify.com/track/7BhmwvCdQZNwuQXSHw5TzP,0.626,0.754,2,-6.217,0,0.0269,0.00998,0.00404,0.157,0.317,100.015
13,PS5 (with TOMORROW X TOGETHER & Alan Walker),"salem ilese, TOMORROW X TOGETHER, Alan Walker",PS5 (with TOMORROW X TOGETHER & Alan Walker),3d5T4SpuAOMi7GSFojXktx,7xNCacksfUkYXsXuSW4vNF,72,2022-02-23,152214,False,https://open.spotify.com/track/7xNCacksfUkYXsXuSW4vNF,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978
14,Darkside,"Alan Walker, Au/Ra, Tomine Harket",Different World,3nzuGtN3nXARvvecier4K0,6SRWhUJcD2YKahCwHavz3X,74,2018-12-14,211680,False,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X,0.43,0.606,4,-5.115,0,0.0431,0.131,0.0,0.173,0.123,169.988
15,Ignite,"Alan Walker, Julie Bergan, K-391, SEUNGRI",Ignite,6Rg9tJW4DSAUyNp59VXzu1,1jLsirPDkUS2g4gnkYua58,71,2018-05-11,210288,False,https://open.spotify.com/track/1jLsirPDkUS2g4gnkYua58,0.681,0.864,8,-4.3,0,0.116,0.0208,3.98e-06,0.192,0.479,90.008
16,Running Out Of Roses,"Alan Walker, Jamie Miller",Walker Racing League,4pOEwzaAsyQwh40tCEEcVV,1KR9TkyhxqqpOk45WAm7bM,66,2021-09-10,136563,False,https://open.spotify.com/track/1KR9TkyhxqqpOk45WAm7bM,0.753,0.539,3,-6.946,1,0.0393,0.0505,0.0,0.0664,0.443,124.015
17,Man On The Moon,"Alan Walker, Benjamin Ingrosso",World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,0zqBZqm5czQ3A4EoSdKFHj,68,2021-11-26,178625,False,https://open.spotify.com/track/0zqBZqm5czQ3A4EoSdKFHj,0.668,0.816,4,-5.648,0,0.0367,0.0557,1.02e-06,0.197,0.5,129.971
18,Legends Never Die - (Remix),"League of Legends, Alan Walker, Against The Current, Mako",Legends Never Die (Remix),2cRJKhNgs1Snq7bV4ELLho,66YtIqT0kN4958EXnCnAmE,68,2017-11-02,167173,False,https://open.spotify.com/track/66YtIqT0kN4958EXnCnAmE,0.404,0.81,9,-4.033,0,0.189,0.164,0.0,0.504,0.34,154.918
19,End of Time,"K-391, Alan Walker, Ahrix",End of Time,03tk4zBML1lvnm5xrjnJFl,67O8CWXxPsfz8orZVGMQwf,67,2020-03-06,187560,False,https://open.spotify.com/track/67O8CWXxPsfz8orZVGMQwf,0.81,0.7,4,-5.664,0,0.0399,0.267,6.69e-05,0.137,0.193,116.019
20,Unity,"The Walkers, Alan Walker",Unity,0p1vX5sQiE5S6Moj8r3MvL,66TdgLCf9Bic8nBsNv0YuD,66,2022-06-03,204533,False,https://open.spotify.com/track/66TdgLCf9Bic8nBsNv0YuD,0.61,0.661,11,-6.801,1,0.0334,0.093,2.14e-05,0.11,0.197,114.894
21,All Falls Down (feat. Juliander),"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",Different World,3nzuGtN3nXARvvecier4K0,1HvCFAUIWQsWV9zud3UhDl,67,2018-12-14,198880,False,https://open.spotify.com/track/1HvCFAUIWQsWV9zud3UhDl,0.655,0.672,1,-4.966,1,0.0581,0.253,0.0,0.312,0.675,98.005
22,The Drum,Alan Walker,The Drum,5UsoRTU88VoYEyskQnQu4H,1zOOl8f7qkjj0AmvlCfLyQ,65,2022-04-29,189288,False,https://open.spotify.com/track/1zOOl8f7qkjj0AmvlCfLyQ,0.783,0.762,6,-4.727,1,0.0507,0.158,6.56e-05,0.092,0.33,127.993
23,Shut Up,"Alan Walker, UPSAHL",Walkerverse Pt. I & II,6kbiBMllsbGVYMAy8YJKs9,1hf9Wu2l0XIgAcTZLSAUJe,64,2022-11-25,132955,True,https://open.spotify.com/track/1hf9Wu2l0XIgAcTZLSAUJe,0.378,0.614,1,-3.809,0,0.0761,0.13,0.0,0.309,0.451,175.937
24,Tired,"Alan Walker, Gavin James",Tired,1q1ayQAYMOacFE2fkXbkv2,3b5Li4QKDVBx1x7fQuu54a,64,2017-05-19,192112,False,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,0.69,0.876,2,-4.159,1,0.059,0.0428,0.0,0.147,0.493,123.994
25,Lost Control,"Alan Walker, Sorana",Different World,3nzuGtN3nXARvvecier4K0,0lG6QM1jjbbX5UUn3DPmrZ,65,2018-12-14,222320,False,https://open.spotify.com/track/0lG6QM1jjbbX5UUn3DPmrZ,0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997
26,Don't You Hold Me Down,"Alan Walker, Georgia Ku",Don't You Hold Me Down,5KQgg5bFgzVeQeZ0E4mxSQ,0d1ujEcFwTqA4kWliTSJim,63,2021-08-27,132598,False,https://open.spotify.com/track/0d1ujEcFwTqA4kWliTSJim,0.773,0.839,5,-4.046,1,0.0566,0.0276,0.00797,0.132,0.303,123.975
27,Lovesick,"Alan Walker, Sophie Simmons",Walkerverse Pt. I & II,6kbiBMllsbGVYMAy8YJKs9,2ECNBJ0b112QmhoBHKq8O6,62,2022-11-25,129024,False,https://open.spotify.com/track/2ECNBJ0b112QmhoBHKq8O6,0.585,0.555,9,-4.694,0,0.0304,0.00539,1.73e-06,0.354,0.162,122.941
28,sickly sweet - Alan Walker Remix,"kenzie, Alan Walker",sickly sweet (Alan Walker Remix),1tmHPiGes5UOMRpToZEGDM,7xK4iii6HEQfcdJXOt8B5j,61,2023-05-26,142909,False,https://open.spotify.com/track/7xK4iii6HEQfcdJXOt8B5j,0.657,0.674,11,-6.096,0,0.041,0.00167,0.00379,0.143,0.263,110.022
29,Do It Like That (Alan Walker Remix),"TOMORROW X TOGETHER, Jonas Brothers, Alan Walker",Do It Like That (Alan Walker Remix),5KSss6H6yvZIpYG2MNpVR7,3a5wHq45xKCNbSwHDnlnjZ,62,2023-08-04,139441,False,https://open.spotify.com/track/3a5wHq45xKCNbSwHDnlnjZ,0.651,0.863,10,-5.557,0,0.0568,0.0125,6.16e-06,0.282,0.655,124.962
30,Dreamer,Alan Walker,Dreamer,2lqGGudTqfh9zLgx0CWiSU,3eClq9oJiACXJZuCsErmWr,61,2023-04-07,155410,False,https://open.spotify.com/track/3eClq9oJiACXJZuCsErmWr,0.655,0.604,10,-7.056,0,0.128,0.0225,0.0877,0.11,0.327,121.95
31,Ritual,Alan Walker,Walkerverse Pt. I & II,6kbiBMllsbGVYMAy8YJKs9,0BxhpnfBTbnDfXi7mK4B6B,60,2022-11-25,145824,False,https://open.spotify.com/track/0BxhpnfBTbnDfXi7mK4B6B,0.607,0.816,9,-4.853,1,0.0448,0.00157,0.000571,0.0969,0.315,125.936
32,Paradise,"Alan Walker, K-391, Boy In Space",World Of Walker,3KrkQ77DF9OUB0aOzKFYOF,2sVcG5mresyV79qpYr3M1C,60,2021-11-26,183344,False,https://open.spotify.com/track/2sVcG5mresyV79qpYr3M1C,0.779,0.58,0,-6.168,0,0.0355,0.158,0.0,0.124,0.679,148.916
33,Hello World,"Alan Walker, Torine",Hello World,48ftSLCJelcAYOnk5u0era,1zS7wXUlPhxdOgGZ7RorQ2,58,2022-03-04,171586,False,https://open.spotify.com/track/1zS7wXUlPhxdOgGZ7RorQ2,0.651,0.646,10,-6.548,0,0.0408,0.00738,3.19e-05,0.193,0.124,104.139
34,Fake A Smile,"Alan Walker, salem ilese",Fake A Smile,1leY6jsSJO6qjoZYUxE2fN,6rAGFY9D3ah6Lb7fUgbNNH,59,2021-02-19,168118,False,https://open.spotify.com/track/6rAGFY9D3ah6Lb7fUgbNNH,0.447,0.553,0,-4.817,1,0.0322,0.212,0.0,0.165,0.252,149.877
35,Somebody Like U,"Alan Walker, Au/Ra",Walkerverse Pt. I & II,6kbiBMllsbGVYMAy8YJKs9,5CkNcNcocnAWbshrLuCl2B,60,2022-11-25,191099,False,https://open.spotify.com/track/5CkNcNcocnAWbshrLuCl2B,0.616,0.698,9,-6.496,1,0.0643,0.153,0.0,0.177,0.187,124.973
